trial,class,flips,ns,seed,kem,decap_rc
464,flipped,4,14333,123,kyber1024,0
465,flipped,4,14250,123,kyber1024,0
466,flipped,4,14208,123,kyber1024,0
467,flipped,4,14250,123,kyber1024,0
468,flipped,4,14167,123,kyber1024,0
469,flipped,4,14250,123,kyber1024,0
470,flipped,4,14334,123,kyber1024,0
471,flipped,4,14292,123,kyber1024,0
472,flipped,4,14250,123,kyber1024,0
473,flipped,4,14292,123,kyber1024,0
474,flipped,4,14333,123,kyber1024,0
475,flipped,4,14292,123,kyber1024,0
476,flipped,4,14250,123,kyber1024,0
477,flipped,4,14334,123,kyber1024,0
478,flipped,4,14292,123,kyber1024,0
479,flipped,4,14416,123,kyber1024,0
480,flipped,4,14333,123,kyber1024,0
481,flipped,4,14291,123,kyber1024,0
482,flipped,4,14250,123,kyber1024,0
483,flipped,4,14375,123,kyber1024,0
484,flipped,4,14375,123,kyber1024,0
485,flipped,4,14500,123,kyber1024,0
486,flipped,4,14375,123,kyber1024,0
487,flipped,4,14583,123,kyber1024,0
488,flipped,4,14750,123,kyber1024,0
489,flipped,4,14334,123,kyber1024,0
490,flipped,4,14542,123,kyber1024,0
491,flipped,4,14875,123,kyber1024,0
492,flipped,4,14292,123,kyber1024,0
493,flipped,4,14417,123,kyber1024,0
494,flipped,4,14500,123,kyber1024,0
495,flipped,4,14333,123,kyber1024,0
496,flipped,4,15292,123,kyber1024,0
497,flipped,4,14291,123,kyber1024,0
498,flipped,4,14375,123,kyber1024,0
499,flipped,4,14417,123,kyber1024,0
500,flipped,4,14375,123,kyber1024,0
501,flipped,4,14292,123,kyber1024,0
502,flipped,4,14959,123,kyber1024,0
503,flipped,4,14250,123,kyber1024,0
504,flipped,4,14209,123,kyber1024,0
505,flipped,4,14458,123,kyber1024,0
506,flipped,4,15417,123,kyber1024,0
507,flipped,4,14292,123,kyber1024,0
508,flipped,4,14334,123,kyber1024,0
509,flipped,4,14291,123,kyber1024,0
510,flipped,4,14292,123,kyber1024,0
511,flipped,4,14291,123,kyber1024,0
512,flipped,4,14292,123,kyber1024,0
513,flipped,4,15583,123,kyber1024,0
514,flipped,4,14291,123,kyber1024,0
515,flipped,4,14292,123,kyber1024,0
516,flipped,4,14291,123,kyber1024,0
517,flipped,4,14334,123,kyber1024,0
518,flipped,4,14292,123,kyber1024,0
519,flipped,4,14459,123,kyber1024,0
520,flipped,4,14334,123,kyber1024,0
521,flipped,4,14292,123,kyber1024,0
522,flipped,4,14292,123,kyber1024,0
523,flipped,4,14292,123,kyber1024,0
524,flipped,4,14292,123,kyber1024,0
525,flipped,4,14375,123,kyber1024,0
526,flipped,4,14375,123,kyber1024,0
527,flipped,4,14375,123,kyber1024,0
528,flipped,4,14459,123,kyber1024,0
529,flipped,4,14333,123,kyber1024,0
530,flipped,4,14292,123,kyber1024,0
531,flipped,4,14209,123,kyber1024,0
532,flipped,4,14334,123,kyber1024,0
533,flipped,4,14291,123,kyber1024,0
534,flipped,4,14333,123,kyber1024,0
535,flipped,4,14416,123,kyber1024,0
536,flipped,4,14333,123,kyber1024,0
537,flipped,4,14250,123,kyber1024,0
538,flipped,4,14375,123,kyber1024,0
539,flipped,4,14333,123,kyber1024,0
540,flipped,4,43667,123,kyber1024,0
541,flipped,4,15125,123,kyber1024,0
542,flipped,4,14209,123,kyber1024,0
543,flipped,4,14417,123,kyber1024,0
544,flipped,4,14375,123,kyber1024,0
545,flipped,4,14292,123,kyber1024,0
546,flipped,4,14250,123,kyber1024,0
547,flipped,4,15083,123,kyber1024,0
548,flipped,4,14375,123,kyber1024,0
549,flipped,4,14250,123,kyber1024,0
550,flipped,4,14250,123,kyber1024,0
551,flipped,4,14584,123,kyber1024,0
552,flipped,4,13875,123,kyber1024,0
553,flipped,4,13292,123,kyber1024,0
554,flipped,4,13292,123,kyber1024,0
555,flipped,4,13208,123,kyber1024,0
556,flipped,4,13208,123,kyber1024,0
557,flipped,4,13250,123,kyber1024,0
558,flipped,4,14458,123,kyber1024,0
559,flipped,4,13208,123,kyber1024,0
560,flipped,4,13333,123,kyber1024,0
561,flipped,4,13209,123,kyber1024,0
562,flipped,4,13250,123,kyber1024,0
563,flipped,4,13292,123,kyber1024,0
564,flipped,4,13250,123,kyber1024,0
565,flipped,4,13208,123,kyber1024,0
566,flipped,4,14750,123,kyber1024,0
567,flipped,4,13291,123,kyber1024,0
568,flipped,4,13250,123,kyber1024,0
569,flipped,4,13250,123,kyber1024,0
570,flipped,4,13375,123,kyber1024,0
571,flipped,4,14250,123,kyber1024,0
572,flipped,4,13792,123,kyber1024,0
573,flipped,4,13333,123,kyber1024,0
574,flipped,4,14250,123,kyber1024,0
575,flipped,4,13208,123,kyber1024,0
576,flipped,4,13292,123,kyber1024,0
577,flipped,4,13292,123,kyber1024,0
578,flipped,4,13292,123,kyber1024,0
579,flipped,4,14292,123,kyber1024,0
580,flipped,4,13291,123,kyber1024,0
581,flipped,4,13334,123,kyber1024,0
582,flipped,4,13209,123,kyber1024,0
583,flipped,4,13292,123,kyber1024,0
584,flipped,4,13208,123,kyber1024,0
585,flipped,4,13292,123,kyber1024,0
586,flipped,4,14250,123,kyber1024,0
587,flipped,4,13292,123,kyber1024,0
588,flipped,4,13250,123,kyber1024,0
589,flipped,4,14250,123,kyber1024,0
590,flipped,4,13250,123,kyber1024,0
591,flipped,4,13208,123,kyber1024,0
592,flipped,4,13292,123,kyber1024,0
593,flipped,4,13208,123,kyber1024,0
594,flipped,4,13208,123,kyber1024,0
595,flipped,4,14167,123,kyber1024,0
596,flipped,4,13208,123,kyber1024,0
597,flipped,4,13209,123,kyber1024,0
598,flipped,4,13250,123,kyber1024,0
599,flipped,4,13250,123,kyber1024,0
600,flipped,4,13292,123,kyber1024,0
601,flipped,4,18708,123,kyber1024,0
602,flipped,4,14792,123,kyber1024,0
603,flipped,4,13375,123,kyber1024,0
604,flipped,4,13292,123,kyber1024,0
605,flipped,4,13250,123,kyber1024,0
606,flipped,4,13333,123,kyber1024,0
607,flipped,4,13291,123,kyber1024,0
608,flipped,4,13250,123,kyber1024,0
609,flipped,4,13292,123,kyber1024,0
610,flipped,4,13333,123,kyber1024,0
611,flipped,4,14417,123,kyber1024,0
612,flipped,4,13250,123,kyber1024,0
613,flipped,4,13250,123,kyber1024,0
614,flipped,4,13250,123,kyber1024,0
615,flipped,4,13333,123,kyber1024,0
616,flipped,4,13291,123,kyber1024,0
617,flipped,4,13292,123,kyber1024,0
618,flipped,4,14250,123,kyber1024,0
619,flipped,4,13333,123,kyber1024,0
620,flipped,4,13208,123,kyber1024,0
621,flipped,4,13250,123,kyber1024,0
622,flipped,4,13250,123,kyber1024,0
623,flipped,4,13208,123,kyber1024,0
624,flipped,4,13250,123,kyber1024,0
625,flipped,4,13333,123,kyber1024,0
626,flipped,4,13250,123,kyber1024,0
627,flipped,4,13208,123,kyber1024,0
628,flipped,4,13334,123,kyber1024,0
629,flipped,4,14417,123,kyber1024,0
630,flipped,4,13291,123,kyber1024,0
631,flipped,4,13250,123,kyber1024,0
632,flipped,4,13792,123,kyber1024,0
633,flipped,4,13334,123,kyber1024,0
634,flipped,4,13250,123,kyber1024,0
635,flipped,4,13250,123,kyber1024,0
636,flipped,4,13292,123,kyber1024,0
637,flipped,4,13166,123,kyber1024,0
638,flipped,4,14250,123,kyber1024,0
639,flipped,4,13250,123,kyber1024,0
640,flipped,4,14208,123,kyber1024,0
641,flipped,4,13291,123,kyber1024,0
642,flipped,4,13334,123,kyber1024,0
643,flipped,4,14208,123,kyber1024,0
644,flipped,4,13250,123,kyber1024,0
645,flipped,4,13250,123,kyber1024,0
646,flipped,4,13250,123,kyber1024,0
647,flipped,4,13208,123,kyber1024,0
648,flipped,4,13250,123,kyber1024,0
649,flipped,4,13250,123,kyber1024,0
650,flipped,4,14209,123,kyber1024,0
651,flipped,4,13167,123,kyber1024,0
652,flipped,4,13292,123,kyber1024,0
653,flipped,4,13333,123,kyber1024,0
654,flipped,4,14500,123,kyber1024,0
655,flipped,4,13250,123,kyber1024,0
656,flipped,4,13250,123,kyber1024,0
657,flipped,4,13250,123,kyber1024,0
658,flipped,4,13250,123,kyber1024,0
659,flipped,4,13292,123,kyber1024,0
660,flipped,4,13291,123,kyber1024,0
661,flipped,4,13291,123,kyber1024,0
662,flipped,4,13292,123,kyber1024,0
