trial,class,flips,ns,seed,kem,decap_rc
226,clean,0,14333,123,kyber1024,0
227,clean,0,14416,123,kyber1024,0
228,clean,0,14291,123,kyber1024,0
229,clean,0,14417,123,kyber1024,0
230,clean,0,14291,123,kyber1024,0
231,clean,0,14333,123,kyber1024,0
232,clean,0,14333,123,kyber1024,0
233,clean,0,14334,123,kyber1024,0
234,clean,0,14334,123,kyber1024,0
235,clean,0,14333,123,kyber1024,0
236,clean,0,14416,123,kyber1024,0
237,clean,0,14333,123,kyber1024,0
238,clean,0,14292,123,kyber1024,0
239,clean,0,14334,123,kyber1024,0
240,clean,0,14416,123,kyber1024,0
241,clean,0,14417,123,kyber1024,0
242,clean,0,14375,123,kyber1024,0
243,clean,0,14292,123,kyber1024,0
244,clean,0,14542,123,kyber1024,0
245,clean,0,14250,123,kyber1024,0
246,clean,0,14334,123,kyber1024,0
247,clean,0,14375,123,kyber1024,0
248,clean,0,14375,123,kyber1024,0
249,clean,0,14333,123,kyber1024,0
250,clean,0,14292,123,kyber1024,0
251,clean,0,14333,123,kyber1024,0
252,clean,0,14375,123,kyber1024,0
253,clean,0,14375,123,kyber1024,0
254,clean,0,14375,123,kyber1024,0
255,clean,0,14334,123,kyber1024,0
256,clean,0,14291,123,kyber1024,0
257,clean,0,14333,123,kyber1024,0
258,clean,0,14333,123,kyber1024,0
259,clean,0,14333,123,kyber1024,0
260,clean,0,14291,123,kyber1024,0
261,clean,0,14250,123,kyber1024,0
262,clean,0,14291,123,kyber1024,0
263,clean,0,14375,123,kyber1024,0
264,clean,0,14292,123,kyber1024,0
265,clean,0,14292,123,kyber1024,0
266,clean,0,14333,123,kyber1024,0
267,clean,0,14333,123,kyber1024,0
268,clean,0,14334,123,kyber1024,0
269,clean,0,14291,123,kyber1024,0
270,clean,0,14417,123,kyber1024,0
271,clean,0,14333,123,kyber1024,0
272,clean,0,14291,123,kyber1024,0
273,clean,0,14291,123,kyber1024,0
274,clean,0,14292,123,kyber1024,0
275,clean,0,15458,123,kyber1024,0
276,clean,0,14417,123,kyber1024,0
277,clean,0,14375,123,kyber1024,0
278,clean,0,14334,123,kyber1024,0
279,clean,0,14333,123,kyber1024,0
280,clean,0,14333,123,kyber1024,0
281,clean,0,14334,123,kyber1024,0
282,clean,0,14375,123,kyber1024,0
283,clean,0,14375,123,kyber1024,0
284,clean,0,14291,123,kyber1024,0
285,clean,0,14250,123,kyber1024,0
286,clean,0,14333,123,kyber1024,0
287,clean,0,14375,123,kyber1024,0
288,clean,0,14375,123,kyber1024,0
289,clean,0,14375,123,kyber1024,0
290,clean,0,14291,123,kyber1024,0
291,clean,0,14333,123,kyber1024,0
292,clean,0,14375,123,kyber1024,0
293,clean,0,14459,123,kyber1024,0
294,clean,0,14333,123,kyber1024,0
295,clean,0,14292,123,kyber1024,0
296,clean,0,14417,123,kyber1024,0
297,clean,0,14375,123,kyber1024,0
298,clean,0,14334,123,kyber1024,0
299,clean,0,14291,123,kyber1024,0
300,clean,0,14417,123,kyber1024,0
301,clean,0,14334,123,kyber1024,0
302,clean,0,14333,123,kyber1024,0
303,clean,0,14334,123,kyber1024,0
304,clean,0,14334,123,kyber1024,0
305,clean,0,14458,123,kyber1024,0
306,clean,0,14291,123,kyber1024,0
307,clean,0,14292,123,kyber1024,0
308,clean,0,14375,123,kyber1024,0
309,clean,0,14333,123,kyber1024,0
310,clean,0,14291,123,kyber1024,0
311,clean,0,14333,123,kyber1024,0
312,clean,0,14334,123,kyber1024,0
313,clean,0,14333,123,kyber1024,0
314,clean,0,14375,123,kyber1024,0
315,clean,0,14292,123,kyber1024,0
316,clean,0,14334,123,kyber1024,0
317,clean,0,14334,123,kyber1024,0
318,clean,0,14375,123,kyber1024,0
319,clean,0,14250,123,kyber1024,0
320,clean,0,14459,123,kyber1024,0
321,clean,0,14375,123,kyber1024,0
322,clean,0,14292,123,kyber1024,0
323,clean,0,14334,123,kyber1024,0
324,clean,0,14292,123,kyber1024,0
325,clean,0,14333,123,kyber1024,0
326,clean,0,14333,123,kyber1024,0
327,clean,0,14250,123,kyber1024,0
328,clean,0,14292,123,kyber1024,0
329,clean,0,14333,123,kyber1024,0
330,clean,0,14334,123,kyber1024,0
331,clean,0,14292,123,kyber1024,0
332,clean,0,14333,123,kyber1024,0
333,clean,0,14292,123,kyber1024,0
334,clean,0,14334,123,kyber1024,0
335,clean,0,14292,123,kyber1024,0
336,clean,0,14291,123,kyber1024,0
337,clean,0,14333,123,kyber1024,0
338,clean,0,14292,123,kyber1024,0
339,clean,0,14292,123,kyber1024,0
340,clean,0,14375,123,kyber1024,0
341,clean,0,14375,123,kyber1024,0
342,clean,0,14333,123,kyber1024,0
343,clean,0,14333,123,kyber1024,0
